brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,city_encoded,state_encoded
53310.0,for_sale,160000.0,5.0,2.0,1.27,1281347.0,Orange,Massachusetts,1364.0,1495.0,2011-04-29,12,2
736.0,for_sale,389900.0,2.0,2.0,6.0,600843.0,Leverett,Massachusetts,1054.0,1779.0,1997-05-29,17,2
53016.0,for_sale,300000.0,3.0,1.0,0.69,1033347.0,Southampton,Massachusetts,1073.0,1200.0,2000-07-10,18,2
7554.0,for_sale,239900.0,4.0,2.0,0.11,1229027.0,Holyoke,Massachusetts,1040.0,1989.0,1992-07-10,13,2
22188.0,for_sale,299900.0,1.0,2.0,0.53,1427712.0,Greenfield,Massachusetts,1301.0,3792.0,2008-09-24,19,2
12856.0,for_sale,299900.0,3.0,2.0,0.22,1141614.0,Easthampton,Massachusetts,1027.0,2037.0,2008-11-20,14,2
30212.0,for_sale,759000.0,5.0,2.0,1.85,1532119.0,South Hadley,Massachusetts,1075.0,4510.0,2005-02-01,10,2
53016.0,for_sale,139000.0,3.0,2.0,0.05,317473.0,Holyoke,Massachusetts,1040.0,1644.0,2018-01-18,13,2
53016.0,for_sale,110000.0,2.0,1.0,0.25,1739430.0,South Hadley,Massachusetts,1075.0,800.0,2004-07-06,10,2
80325.0,for_sale,215000.0,3.0,2.0,0.25,370545.0,Holyoke,Massachusetts,1040.0,4620.0,1997-12-12,13,2
22188.0,for_sale,386000.0,4.0,2.0,1.3,893325.0,Deerfield,Massachusetts,1373.0,2032.0,1993-12-13,20,2
53710.0,for_sale,375000.0,3.0,1.0,3.87,212961.0,West Springfield,Massachusetts,1089.0,1008.0,1989-07-14,21,2
23722.0,for_sale,1295000.0,4.0,5.0,7.81,794865.0,Hadley,Massachusetts,1035.0,7000.0,1997-08-06,22,2
48733.0,for_sale,799000.0,4.0,4.0,1.59,652431.0,Deerfield,Massachusetts,1373.0,3444.0,2002-05-17,20,2
56729.0,for_sale,289900.0,5.0,2.0,0.15,1314394.0,Chicopee,Massachusetts,1020.0,2316.0,2020-09-28,8,2
108015.0,for_sale,195500.0,4.0,2.0,0.17,326015.0,Chicopee,Massachusetts,1013.0,2030.0,1996-12-30,8,2
107912.0,for_sale,1390000.0,3.0,5.0,14.48,1685783.0,Williamsburg,Massachusetts,1038.0,3112.0,2004-04-29,23,2
3357.0,for_sale,285000.0,3.0,3.0,19.23,1685760.0,Southampton,Massachusetts,1073.0,2268.0,2002-11-22,18,2
64525.0,for_sale,184900.0,1.0,1.0,0.29,733115.0,Greenfield,Massachusetts,1301.0,640.0,1988-03-01,19,2
87582.0,for_sale,195000.0,2.0,1.0,0.15,438968.0,Easthampton,Massachusetts,1027.0,1276.0,1996-11-27,14,2
59818.0,for_sale,219900.0,3.0,3.0,0.1,482142.0,South Hadley,Massachusetts,1075.0,1781.0,2009-08-21,10,2
7554.0,for_sale,279900.0,3.0,1.0,0.13,915051.0,Holyoke,Massachusetts,1040.0,1456.0,2019-10-21,13,2
22188.0,for_sale,215000.0,2.0,1.0,0.22,732148.0,Greenfield,Massachusetts,1301.0,816.0,1993-04-29,19,2
40923.0,for_sale,425000.0,3.0,2.0,0.25,1141707.0,Northampton,Massachusetts,1062.0,1609.0,2004-06-29,15,2
71852.0,for_sale,400000.0,4.0,3.0,0.46,242275.0,South Hadley,Massachusetts,1075.0,2108.0,2021-09-21,10,2
30212.0,for_sale,500000.0,4.0,5.0,1.02,1539571.0,Granby,Massachusetts,1033.0,2396.0,2015-01-09,5,2
22188.0,for_sale,689000.0,5.0,2.0,0.38,1745387.0,Northampton,Massachusetts,1060.0,3364.0,1991-05-22,15,2
41995.0,for_sale,249987.0,4.0,2.0,0.13,1130243.0,Chicopee,Massachusetts,1020.0,1596.0,2007-03-21,8,2
3357.0,for_sale,199900.0,3.0,1.0,0.26,1821055.0,Chicopee,Massachusetts,1020.0,1048.0,2005-07-18,8,2
92102.0,for_sale,185000.0,4.0,2.0,0.14,373597.0,Holyoke,Massachusetts,1040.0,2040.0,2000-08-16,13,2
30212.0,for_sale,214900.0,4.0,2.0,0.12,1049874.0,Holyoke,Massachusetts,1040.0,1599.0,1996-01-31,13,2
56729.0,for_sale,379900.0,5.0,2.0,0.85,1697822.0,South Hadley,Massachusetts,1075.0,1605.0,2017-02-13,10,2
22188.0,for_sale,275000.0,3.0,1.0,0.29,1739276.0,Greenfield,Massachusetts,1301.0,1482.0,2001-10-31,19,2
81218.0,for_sale,379900.0,4.0,2.0,0.62,1244990.0,Ludlow,Massachusetts,1056.0,1988.0,2016-08-11,11,2
22188.0,for_sale,340000.0,3.0,2.0,1.07,1712364.0,Greenfield,Massachusetts,1301.0,1100.0,2006-08-31,19,2
67832.0,for_sale,300000.0,6.0,4.0,0.16,1637803.0,Chicopee,Massachusetts,1020.0,2844.0,2019-12-30,8,2
22188.0,for_sale,824900.0,4.0,2.0,0.18,696420.0,Northampton,Massachusetts,1060.0,2382.0,1990-08-02,15,2
17792.0,for_sale,349900.0,4.0,1.0,0.91,85747.0,Easthampton,Massachusetts,1027.0,1404.0,2021-09-23,14,2
8147.0,for_sale,259900.0,4.0,2.0,0.11,1318712.0,Chicopee,Massachusetts,1013.0,1872.0,2004-08-20,8,2
59891.0,for_sale,240000.0,3.0,2.0,0.16,425796.0,Springfield,Massachusetts,1104.0,1284.0,2011-08-26,24,2
737.0,for_sale,1290000.0,5.0,5.0,2.0,893695.0,Williamsburg,Massachusetts,1096.0,4476.0,2009-06-30,23,2
20717.0,for_sale,289900.0,3.0,1.0,0.26,1031167.0,Holyoke,Massachusetts,1040.0,1096.0,2019-05-10,13,2
76016.0,for_sale,199900.0,2.0,2.0,0.23,1531748.0,South Hadley,Massachusetts,1075.0,1210.0,2004-05-21,10,2
22188.0,for_sale,945000.0,9.0,10.0,2.83,893309.0,Greenfield,Massachusetts,1301.0,5512.0,2004-07-01,19,2
33507.0,for_sale,270000.0,2.0,1.0,2.61,1157429.0,Montague,Massachusetts,1351.0,936.0,1987-07-23,25,2
48733.0,for_sale,439500.0,4.0,2.0,0.59,1609968.0,Hadley,Massachusetts,1035.0,2394.0,2018-06-08,22,2
58796.0,for_sale,289000.0,3.0,3.0,0.14,1050111.0,Holyoke,Massachusetts,1040.0,1978.0,2009-06-24,13,2
16607.0,for_sale,299900.0,8.0,4.0,0.14,1751721.0,Greenfield,Massachusetts,1301.0,4192.0,2011-09-28,19,2
16607.0,for_sale,235000.0,2.0,1.0,0.27,1685992.0,Greenfield,Massachusetts,1301.0,1200.0,2006-02-17,19,2
27510.0,for_sale,449000.0,3.0,3.0,0.4,10891.0,Easthampton,Massachusetts,1027.0,1916.0,2008-01-25,14,2
53016.0,for_sale,995000.0,5.0,4.0,0.72,1140106.0,Hadley,Massachusetts,1035.0,4468.0,1998-01-06,22,2
